tlx_group	rdc_significant_maxscore	rdc_significant_length	rdc_chrom	rdc_extended_start	rdc_extended_end	rdc_start	rdc_end	rdc_significant_orientation	rdc_significant_orientation_count	rdc_subset	rdc_gene	rdc_gene_strand	rdc_gene_overlap	rdc_name	rdc_length	rdc_extended_length	rdc_bootstrap_pvalue	rdc_bootstrap_fc	rdc_is_significant	rdc_group	rdc_peak_shape	rdc_is_biphasic	rdc_DRIP_peaks	rdc_forks	rdc_sizesize
APH-Inter	5.348213382146392	371027	chr15	7844759	8472385	7860206	8450265	bidirectional	1+1-1*	DKFZ	Wdr70	-	226154	RDC-chr15-8.2	590059	627626	1.3122325077681772e-15	2.9646171333924647	TRUE	2	Twin	FALSE	2	NA	NA
APH-Inter	5.348213382146392	535432	chr15	72735791	73461650	72870609	73431210	telomeric	1+0-1*	DKFZ	Trappc9	-	325453	RDC-chr15-73.2	560601	725859	2.8524012356783437e-25	3.5790835518297937	TRUE	2	Largely overlap	FALSE	3	NA	NA
APH-Inter	5.359530040258875	298393	chr6	143803038	144283825	143840752	144259417	centromeric	0+1-1*	Wei	Sox5	-	455400	RDC-chr6-144.1	418665	480787	2.163416398445873e-13	3.382791305221556	TRUE	1	Multiple	TRUE	0	NA	841964
APH-Inter	5.361894753624551	189997	chr11	35782738	36166738	35809104	36033002	centromeric	0+1-1*	DKFZ	Tenm2	-	160082	RDC-chr11-35.9	223898	384000	1.4778481747432206e-11	3.2035427190676757	TRUE	2	Single	FALSE	0	NA	NA
APH-Inter	5.363649095913258	23794	chr2	4509999	4635999	4531107	4605082	telomeric	1+0-1*	DKFZ	Frmd4a	+	104044	RDC-chr2-4.6	73975	126000	1.54844634294617e-5	3.1432450832015464	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	5.383383176846487	78663	chr6	98899863	99087863	98928195	99056978	centromeric	0+1-1*	Wei+DKFZ	Foxp1	-	162521	RDC-chr6-99.0	128783	188000	6.101993814610074e-7	3.298196115312773	FALSE	1	Twin	TRUE	2	Convergent	733444
APH-Inter	5.386557926964163	123985	chr3	55612850	55928850	55629565	55800472	centromeric	0+1-1*	DKFZ	Nbea	-	303655	RDC-chr3-55.7	170907	316000	1.3241917015888154e-10	3.1091841846164474	TRUE	2	Single	FALSE	0	NA	NA
APH-Inter	5.407874390612468	195759	chr7	117354399	117751385	117376768	117707499	bidirectional	1+1-1*	Wei	Xylt1	+	286651	RDC-chr7-117.5	330731	396986	2.9561962740669456e-13	4.416282642089094	TRUE	NA	NA	NA	NA	NA	NA
APH-Inter	5.440324531843396	164592	chr16	43298242	43670242	43452488	43637764	telomeric	1+0-1*	DKFZ	Zbtb20	+	344348	RDC-chr16-43.5	185276	372000	7.378563995302684e-11	3.336047663022792	TRUE	1	Twin	FALSE	0	NA	NA
APH-Inter	5.478361768635114	530818	chr10	119379594	120494880	119407404	120466445	bidirectional	2+2-3*	DKFZ	Grip1	+	633432	RDC-chr10-119.9	1059041	1115286	9.433086445984907e-30	2.870102371840945	TRUE	2	Multiple	FALSE	0	NA	NA
APH-Inter	5.4917361059069085	406825	chrX	129911490	130523784	129999355	130439879	bidirectional	1+1-1*	Wei+DKFZ	Diaph2	+	554344	RDC-chrX-130.2	440524	612294	3.7978613029908925e-22	5.254289493232838	TRUE	1	Twin	FALSE	0	NA	NA
APH-Inter	5.494538224436036	169860	chr7	134645880	135056964	134668105	134986366	bidirectional	2+1-1*	Wei	Dock1	+	386359	RDC-chr7-134.8	318261	411084	2.995981807751186e-10	3.6228795499104938	TRUE	1	Twin	FALSE	1	NA	NA
APH-Inter	5.501846797627032	257309	chr13	23381100	23827898	23401649	23805430	bidirectional	2+1-1*	Wei+DKFZ	NA	NA	NA	RDC-chr13-23.6	403781	446798	3.71228914118819e-16	3.6515754943169845	TRUE	3	Largely overlap	FALSE	0	NA	NA
APH-Inter	5.505574348830241	144083	chr17	29979211	30249102	30006026	30132467	centromeric	0+1-1*	Wei	Btbd9	-	33578	RDC-chr17-30.1	126441	269891	3.3279173693051874e-7	3.823006278332061	TRUE	2	Single	FALSE	3	NA	663920
APH-Inter	5.508072387740201	599512	chr10	73326611	74240119	73458064	74219619	bidirectional	1+1-1*	Wei+DKFZ	Pcdh15	+	913508	RDC-chr10-73.8	761555	913508	5.9999960201347614e-34	3.099287195250761	TRUE	1	Twin	FALSE	0	NA	NA
APH-Inter	5.532876345674347	10666	chr5	34299709	34433709	34344347	34405036	telomeric	1+0-1*	Wei	Fam193a	+	63776	RDC-chr5-34.4	60689	134000	2.2618049391912886e-4	3.029036975141007	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	5.53376462856698	41622	chr18	37752640	37980640	37785494	37886187	telomeric	1+0-1*	DKFZ	Gm37013	+	89233	RDC-chr18-37.8	100693	228000	1.0431480795153501e-6	2.857637686179425	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	5.53463847277334	493060	chr6	61432664	62145761	61507327	62018761	bidirectional	1+1-1*	Wei+DKFZ	Ccser1	+	713097	RDC-chr6-61.8	511434	713097	4.715554377834725e-34	4.255291804628669	TRUE	1	Twin	FALSE	0	NA	1159848
APH-Inter	5.549827923347118	198958	chr15	30679568	31061568	30703169	31043320	telomeric	1+0-0*	Wei	Ctnnd2	+	349776	RDC-chr15-30.9	340151	382000	7.46160945528489e-7	2.682383165212135	TRUE	2	Multiple	FALSE	0	NA	NA
APH-Inter	5.5563245470722284	227274	chr8	11169351	11496813	11190863	11467041	bidirectional	1+1-1*	DKFZ	Col4a2	+	136482	RDC-chr8-11.3	276178	327462	2.0208936597246575e-19	4.54824323228262	TRUE	2	Twin; Largely overlap	FALSE	0	NA	296000
APH-Inter	5.560516744685773	38863	chr15	77734889	77862342	77752920	77841879	bidirectional	1+1-1*	Wei+DKFZ	NA	NA	NA	RDC-chr15-77.8	88959	127453	2.9037651978578316e-7	3.4771937001431787	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	5.563888974687485	273992	chrX	83200328	83776232	83264019	83678682	centromeric	0+2-1*	DKFZ	Dmd	+	575904	RDC-chrX-83.5	414663	575904	9.977461432443125e-19	5.580923389142567	TRUE	1	Twin; Largely overlap	FALSE	0	NA	NA
APH-Inter	5.570525932145052	24789	chr11	51509539	51655539	51547031	51626437	telomeric	1+0-1*	Wei+DKFZ	Col23a1	+	74386	RDC-chr11-51.6	79406	146000	2.6782595808191834e-5	2.858272706043478	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	5.5746728674737	262023	chr7	101938566	102358566	101969214	102292939	centromeric	0+1-1*	DKFZ	Stim1	+	97052	RDC-chr7-102.1	323725	420000	7.755949125805213e-15	4.117086402412444	TRUE	2	Single	FALSE	4	NA	NA
APH-Inter	5.585414620603583	104812	chr8	122854888	123136888	122883751	123019723	bidirectional	1+1-1*	Wei	Ankrd11	-	158462	RDC-chr8-123.0	135972	282000	1.005059962386761e-8	3.048480676566034	TRUE	NA	NA	NA	NA	NA	NA
APH-Inter	5.604972043353826	143724	chr10	12572660	12884660	12629144	12833175	telomeric	1+0-1*	DKFZ	Utrn	-	297029	RDC-chr10-12.7	204031	312000	5.035364439144998e-12	3.1460602382701457	TRUE	2	Single	FALSE	0	NA	NA
APH-Inter	5.626773713507644	66062	chr19	5660018	5944491	5740225	5841367	bidirectional	1+1-1*	DKFZ	NA	NA	NA	RDC-chr19-5.8	101142	284473	2.965532409376751e-11	3.5065147692597245	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	5.63789620210714	444366	chr3	156508711	157257230	156553135	157196854	bidirectional	1+1-1*	DKFZ	Negr1	+	695436	RDC-chr3-156.9	643719	748519	4.736293186737083e-37	4.041667087352112	TRUE	1	Twin	FALSE	0	NA	NA
APH-Inter	5.6478088597646945	304079	chr5	124863443	125575757	124990214	125453300	centromeric	0+2-2*	Wei+DKFZ	Tmem132b	+	43339	RDC-chr5-125.2	463086	712314	6.365029433510198e-23	3.665673659969153	TRUE	2	Twin; Largely overlap	FALSE	7	NA	NA
APH-Inter	5.658324374139248	51451	chr18	78713989	78903989	78733330	78842022	centromeric	0+1-1*	Wei+DKFZ	Setbp1	-	153611	RDC-chr18-78.8	108692	190000	5.441482149633296e-8	3.0477613701162083	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	5.658324374139248	106843	chr18	44387818	44651818	44415265	44616570	centromeric	0+1-1*	Wei+DKFZ	Mcc	-	226758	RDC-chr18-44.5	201305	264000	7.123397757711601e-10	2.803713942934641	TRUE	NA	NA	NA	NA	NA	NA
APH-Inter	5.6703948832602995	613708	chr9	68624793	69523808	68715071	69495568	bidirectional	1+1-1*	Wei+DKFZ	Rora	+	734839	RDC-chr9-69.1	780497	899015	9.048205417080085e-34	3.4893797238283577	TRUE	1	Twin	FALSE	2	NA	NA
APH-Inter	5.6848559459066585	267068	chr1	123456110	123890232	123507556	123829046	bidirectional	1+1-1*	DKFZ	Dpp10	-	434122	RDC-chr1-123.7	321490	434122	2.1169868004094746e-17	3.811176924490409	TRUE	1	Twin	FALSE	0	NA	NA
APH-Inter	5.7429107069775425	851779	chr8	16203283	17219576	16247407	17164462	bidirectional	1+1-1*	Wei+DKFZ	Csmd1	-	1016293	RDC-chr8-16.7	917055	1016293	1.1841986893994087e-46	4.00813362400841	TRUE	1	Twin	FALSE	0	NA	1255662
APH-Inter	5.787915532492025	61384	chr11	75210926	75390926	75238989	75354538	telomeric	1+0-1*	Wei	NA	NA	NA	RDC-chr11-75.3	115549	180000	3.9771020784916e-4	2.724465702003996	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	5.787915532492025	90310	chr11	119942275	120312496	119970646	120285917	telomeric	1+0-1*	Wei	NA	NA	NA	RDC-chr11-120.1	315271	370221	1.1878700312387176e-5	2.55149150034394	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	5.865663871096836	679560	chr2	161545937	162566230	161570947	162481925	bidirectional	1+1-1*	Wei+DKFZ	Ptprt	-	1020293	RDC-chr2-162.0	910978	1020293	1.8030478553049947e-43	3.948728123100058	TRUE	1	Twin	FALSE	0	NA	NA
APH-Inter	5.871150800195327	480880	chr14	93108291	93845806	93233438	93775597	bidirectional	1+1-1*	Wei+DKFZ	Pcdh9	-	737515	RDC-chr14-93.5	542159	737515	1.7190781434875415e-41	4.689290332296028	TRUE	1	Twin	FALSE	0	NA	NA
APH-Inter	5.900529942723145	48878	chr18	37758096	37986096	37788386	37887377	telomeric	1+0-1*	Wei+DKFZ	Gm37013	+	83777	RDC-chr18-37.8	98991	228000	3.104658597396273e-7	2.711929020294334	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	5.901890199605516	35320	chrX	13487004	13751004	13513598	13596858	centromeric	0+1-1*	Wei+DKFZ	Cask	-	233924	RDC-chrX-13.6	83260	264000	2.66878380451213e-7	3.7681609820526765	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	5.936565979921373	48740	chr6	94572772	94712772	94596236	94695106	telomeric	1+0-1*	Wei	Slc25a26	+	31887	RDC-chr6-94.6	98870	140000	1.104847970603367e-7	3.976582348392798	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	5.936565979921373	64163	chr6	28734002	28940002	28795932	28918780	telomeric	1+0-1*	Wei	Snd1	+	201160	RDC-chr6-28.9	122848	206000	4.331426657230897e-6	2.85790243254021	FALSE	1	Single	FALSE	0	NA	316000
APH-Inter	5.936565979921373	75539	chr6	37161151	37403151	37186930	37288515	telomeric	1+0-1*	Wei	Dgki	-	138908	RDC-chr6-37.2	101585	242000	1.3261180511441753e-7	3.3546010655791623	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	5.974664016126681	855559	chr8	16202151	17320887	16250734	17165706	bidirectional	1+1-1*	DKFZ	Csmd1	-	1118736	RDC-chr8-16.7	914972	1118736	2.140613322493009e-54	4.290119883164275	TRUE	1	Twin	FALSE	0	NA	1255662
APH-Inter	5.992046572609051	690998	chr8	114397636	115387631	114508721	115260923	bidirectional	1+1-1*	Wei+DKFZ	Wwox	+	913077	RDC-chr8-114.9	752202	989995	4.2212917632961394e-50	3.9452191685563762	TRUE	1	Multiple	TRUE	0	NA	NA
APH-Inter	6.042565017353845	510184	chr4	65381497	66191528	65462198	66049911	bidirectional	1+1-1*	Wei+DKFZ	Astn2	-	810031	RDC-chr4-65.8	587713	810031	3.4941214215052176e-25	3.7948002748312	TRUE	1	Twin	FALSE	0	NA	NA
APH-Inter	6.046063952650437	19723	chr9	66977789	67113789	67001008	67070865	centromeric	0+1-1*	Wei+DKFZ	NA	NA	NA	RDC-chr9-67.0	69857	136000	2.4281046142911186e-6	3.4026601221398742	FALSE	2	Multiple; Largely overlap	FALSE	6	NA	NA
APH-Inter	6.064101584858565	770483	chr18	24724527	25719178	24748103	25622683	bidirectional	2+1-1*	Wei+DKFZ	Fhod3	+	408980	RDC-chr18-25.2	874580	994651	4.802413563835304e-43	3.6882178817530757	TRUE	2	Twin	FALSE	0	NA	NA
APH-Inter	6.094421382523876	103780	chr17	10157161	10383886	10180426	10334903	centromeric	0+1-1*	Wei+DKFZ	Qk	-	112890	RDC-chr17-10.3	154477	226725	2.598064589347038e-13	4.878175271982606	TRUE	2	Single	FALSE	7	NA	NA
APH-Inter	6.104244936214456	654991	chr10	73300611	74246116	73457542	74219619	bidirectional	1+1-1*	DKFZ	Pcdh15	+	945505	RDC-chr10-73.8	762077	945505	9.412874874821177e-40	3.7356608771754645	TRUE	1	Twin	FALSE	0	NA	NA
APH-Inter	6.11360359128825	408801	chrX	129819587	130526718	129999355	130439879	bidirectional	1+1-1*	DKFZ	Diaph2	+	646247	RDC-chrX-130.2	440524	707131	4.582798660893196e-32	5.854387676721544	TRUE	1	Twin	FALSE	0	NA	NA
APH-Inter	6.121738772636326	709434	chr8	114396833	115403626	114502894	115258582	bidirectional	1+1-1*	DKFZ	Wwox	+	913077	RDC-chr8-114.9	755688	1006793	7.763635587904521e-47	4.095932162940805	TRUE	1	Multiple	TRUE	0	NA	NA
APH-Inter	6.1524553856588655	381302	chr3	25614495	26206692	25648392	26071835	bidirectional	1+1-1*	Wei+DKFZ	Nlgn1	-	592197	RDC-chr3-25.9	423443	592197	4.321829764237263e-27	3.7333295326174545	TRUE	1	Twin	FALSE	0	NA	NA
APH-Inter	6.179534527380235	416965	chr3	25616255	26203881	25644327	26071835	bidirectional	1+1-1*	DKFZ	Nlgn1	-	587626	RDC-chr3-25.9	427508	587626	2.906504371997274e-29	4.0534193706479344	TRUE	1	Twin	FALSE	0	NA	NA
APH-Inter	6.183787298128698	524418	chr10	119379594	120496670	119407404	120466850	bidirectional	2+2-2*	Wei+DKFZ	Grip1	+	633432	RDC-chr10-119.9	1059446	1117076	1.6444147388133706e-27	2.6647945158286364	TRUE	2	Multiple	FALSE	0	NA	NA
APH-Inter	6.1846556263677765	22863	chr1	163145925	163319221	163229749	163287625	telomeric	1+0-1*	Wei	NA	NA	NA	RDC-chr1-163.3	57876	173296	2.014892832202315e-5	3.005259203606311	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	6.211074393759594	690885	chr9	68645845	69527404	68709924	69496925	bidirectional	1+1-2*	DKFZ	Rora	+	734839	RDC-chr9-69.1	787001	881559	5.622744349332501e-35	3.9591998515317792	TRUE	1	Twin	FALSE	2	NA	NA
APH-Inter	6.22009990346975	309280	chr4	128273581	128814595	128315689	128790094	telomeric	1+0-1*	Wei+DKFZ	Csmd2	+	294079	RDC-chr4-128.6	474405	541014	6.383735843124781e-15	3.6223688553214166	TRUE	2	Multiple	FALSE	7	NA	NA
APH-Inter	6.270189090370095	307364	chr14	20911687	21680749	20936955	21644345	bidirectional	2+1-2*	DKFZ	Adk	+	395995	RDC-chr14-21.3	707390	769062	9.238397423286987e-22	3.823825317706058	TRUE	2	Single	FALSE	6	NA	NA
APH-Inter	6.2747945324938765	74916	chr11	117241194	117477418	117266295	117376782	bidirectional	1+1-1*	Wei	Sept9	+	121131	RDC-chr11-117.3	110487	236224	7.770896205909174e-8	3.5027622886430665	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	6.295044771023033	290380	chr4	128281581	128812595	128310301	128790094	telomeric	2+0-1*	DKFZ	Csmd2	+	286079	RDC-chr4-128.6	479793	531014	1.9741389436669544e-17	3.92893254369493	TRUE	2	Multiple	FALSE	7	NA	NA
APH-Inter	6.312250343481612	44378	chrX	13479618	13635618	13499729	13596598	centromeric	0+1-1*	DKFZ	Cask	-	118538	RDC-chrX-13.5	96869	156000	3.5718287618692573e-6	4.50524246395806	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	6.31976132849792	122256	chr18	44387926	44657926	44413025	44629193	centromeric	0+1-1*	DKFZ	Mcc	-	232866	RDC-chr18-44.5	216168	270000	6.4497707582388485e-12	3.2878119782524937	TRUE	NA	NA	NA	NA	NA	NA
APH-Inter	6.350192445569704	287269	chr14	20915687	21680835	20939158	21644345	bidirectional	2+1-1*	Wei+DKFZ	Adk	+	395995	RDC-chr14-21.3	705187	765148	5.365101905990864e-22	3.3477992284651714	TRUE	2	Single	FALSE	6	NA	NA
APH-Inter	6.3889022252339895	271903	chr10	49226484	49640556	49251516	49591754	bidirectional	1+1-1*	Wei+DKFZ	Grik2	-	414072	RDC-chr10-49.4	340238	414072	2.563880296128324e-18	3.5334019858852876	TRUE	1	Twin	FALSE	0	NA	NA
APH-Inter	6.4070235494034256	17584	chr7	79456931	79656737	79486497	79554174	telomeric	1+0-1*	Wei+DKFZ	NA	NA	NA	RDC-chr7-79.5	67677	199806	1.3680665261134253e-6	3.5368886432716216	FALSE	3	Twin	FALSE	6	unclear	316451
APH-Inter	6.407873634728217	36320	chr15	77735162	77868905	77755756	77842154	bidirectional	1+1-1*	DKFZ	NA	NA	NA	RDC-chr15-77.8	86398	133743	1.630132342608635e-8	4.1731066460587325	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	6.4086987388759535	395311	chr13	76667575	77302740	76799661	77217554	bidirectional	1+1-1*	Wei+DKFZ	Mctp1	+	365702	RDC-chr13-77.0	417893	635165	5.138584299131879e-21	3.4671010246304994	TRUE	2	Multiple	FALSE	0	NA	NA
APH-Inter	6.40907984363144	31400	chr11	51499539	51657539	51545174	51627028	telomeric	1+0-1*	DKFZ	Col23a1	+	84386	RDC-chr11-51.6	81854	158000	6.334192508195463e-5	2.6435194318405997	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	6.4149974177292854	326036	chr5	81052512	81672855	81234830	81573016	bidirectional	1+1-1*	Wei+DKFZ	Adgrl3	+	620343	RDC-chr5-81.4	338186	620343	7.658257427994464e-29	4.332581042760972	TRUE	1	Twin	FALSE	0	NA	305148
APH-Inter	6.431250170549371	80648	chr6	98893871	99083871	98926221	99056978	centromeric	0+1-1*	DKFZ	Foxp1	-	158529	RDC-chr6-99.0	130757	190000	2.699235728703137e-7	5.027390610914638	FALSE	1	Twin	TRUE	2	Convergent	733444
APH-Inter	6.431843543949698	224846	chr8	127046453	127639423	127071674	127574043	bidirectional	1+1-1*	Wei+DKFZ	Pard3	+	548414	RDC-chr8-127.3	502369	592970	1.1188883702794694e-18	3.1244955464466497	TRUE	1	Twin	FALSE	1	NA	NA
APH-Inter	6.454102080601882	20063	chr4	17998973	18141480	18031873	18103578	telomeric	1+0-1*	Wei	Mmp16	+	124766	RDC-chr4-18.1	71705	142507	5.230880893721089e-4	3.2492147730965013	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	6.470621542058366	64407	chr18	78710267	78898267	78733093	78846383	centromeric	0+1-1*	DKFZ	Setbp1	-	147889	RDC-chr18-78.8	113290	188000	5.322134105125403e-10	3.696956708101157	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	6.480727084214263	542784	chr16	66821299	67505891	66875818	67469651	bidirectional	1+1-1*	Wei+DKFZ	Cadm2	-	684592	RDC-chr16-67.2	593833	684592	1.194812834865744e-40	4.720692494019135	TRUE	1	Twin	FALSE	0	NA	564081
APH-Inter	6.488427725522618	829184	chr1	178282043	179538925	178304668	179460701	bidirectional	1+2-1*	Wei+DKFZ	Smyd3	-	563022	RDC-chr1-178.9	1156033	1256882	2.0211598944143673e-48	3.420226275588043	TRUE	2	Twin	FALSE	0	NA	NA
APH-Inter	6.492793784775649	481412	chr14	93064291	93893806	93233194	93783031	bidirectional	1+1-1*	DKFZ	Pcdh9	-	826433	RDC-chr14-93.5	549837	829515	1.4027369409526494e-44	5.28146845120175	TRUE	1	Twin	FALSE	0	NA	NA
APH-Inter	6.511961154636432	345547	chr5	81052512	81814855	81233399	81628754	bidirectional	1+1-1*	DKFZ	Adgrl3	+	762343	RDC-chr5-81.4	395355	762343	6.6633634640855485e-31	4.66339752541162	TRUE	1	Twin	FALSE	0	NA	305148
APH-Inter	6.533922388901924	171305	chr7	112620020	112934020	112686994	112908660	bidirectional	1+1-1*	Wei+DKFZ	Tead1	+	227485	RDC-chr7-112.8	221666	314000	1.6829594610682407e-14	4.730295967752144	TRUE	2	Multiple	FALSE	6	NA	NA
APH-Inter	6.549895516988593	411644	chr13	76663575	77328401	76801490	77215703	bidirectional	1+1-1*	DKFZ	Mctp1	+	369702	RDC-chr13-77.0	414213	664826	7.67321262988647e-24	3.9199736613128295	TRUE	2	Multiple	FALSE	0	NA	NA
APH-Inter	6.5651143015415565	72995	chr11	86472511	86654511	86488785	86625065	bidirectional	1+1-1*	Wei	NA	NA	NA	RDC-chr11-86.6	136280	182000	3.048144870565983e-6	3.319604106473228	FALSE	2	Single	FALSE	6	NA	NA
APH-Inter	6.567205971252462	168835	chr8	127048453	127340453	127071674	127293398	centromeric	0+1-1*	DKFZ	Pard3	+	276581	RDC-chr8-127.2	221724	292000	3.2311916503105313e-16	4.382643882601574	TRUE	1	Twin	FALSE	1	NA	NA
APH-Inter	6.5823584359681995	260383	chr15	85544452	86322876	85650650	86289717	bidirectional	1+2-2*	Wei	Tbc1d22a	+	108580	RDC-chr15-86.0	639067	778424	1.4151190976691222e-9	2.6396247555023833	TRUE	2	Single	FALSE	5	NA	NA
APH-Inter	6.60248077281469	882777	chr5	141207593	142232964	141263701	142205358	bidirectional	1+1-1*	DKFZ	Sdk1	+	974089	RDC-chr5-141.7	941657	1025371	3.721324427262394e-61	6.2799942945463	TRUE	1	Multiple	TRUE	0	NA	NA
APH-Inter	6.61965274630808	91423	chr4	89185003	89477003	89212280	89331435	bidirectional	1+1-1*	Wei+DKFZ	Gm12610	+	181823	RDC-chr4-89.3	119155	292000	1.9131114280872726e-10	3.6149685103769666	FALSE	3	Snigle; Largely overlap	FALSE	2	NA	NA
APH-Inter	6.621702316574854	793810	chr18	24714162	25672713	24809017	25616223	bidirectional	1+1-1*	DKFZ	Fhod3	+	419345	RDC-chr18-25.2	807206	958551	4.244830918651272e-48	4.27330489147412	TRUE	2	Twin	FALSE	0	NA	NA
APH-Inter	6.654301124640971	81485	chr15	53072635	53302635	53104191	53241083	bidirectional	1+1-1*	DKFZ	Ext1	-	230000	RDC-chr15-53.2	136892	230000	9.863579935708532e-9	3.4700706407237574	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	6.680070216750994	525430	chr4	65382732	66176736	65462198	66042802	bidirectional	1+1-1*	DKFZ	Astn2	-	794004	RDC-chr4-65.8	580604	794004	1.3666766767060636e-33	4.747649568316553	TRUE	1	Twin	FALSE	0	NA	NA
APH-Inter	6.749479336564229	24389	chr10	79645418	79785418	79673416	79747259	telomeric	1+0-1*	Wei	NA	NA	NA	RDC-chr10-79.7	73843	140000	1.2384076595095358e-4	2.976518575680741	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	6.838056907861145	1130441	chr5	19387976	20741495	19471217	20678693	bidirectional	1+1-1*	Wei+DKFZ	Magi2	+	1316816	RDC-chr5-20.1	1207476	1353519	1.0142184724190554e-92	5.537362657892725	TRUE	1	Twin	FALSE	0	NA	332000
APH-Inter	6.85646190785022	24369	chr9	66975369	67187369	66999175	67074138	centromeric	0+1-1*	DKFZ	NA	NA	NA	RDC-chr9-67.0	74963	212000	1.0534659732322593e-6	2.853133442026802	FALSE	2	Multiple; Largely overlap	FALSE	6	NA	NA
APH-Inter	6.864234812631202	107324	chr8	84417202	84852974	84502838	84829287	bidirectional	1+2-1*	Wei	Cacna1a	+	223049	RDC-chr8-84.7	326449	435772	1.1635814015579821e-9	2.91743654575513	TRUE	NA	NA	NA	NA	NA	NA
APH-Inter	6.871976077258802	725444	chr6	63359164	64398763	63512640	64272714	bidirectional	1+1-1*	Wei+DKFZ	Grid2	+	1039599	RDC-chr6-63.9	760074	1039599	4.148024089998196e-52	4.842134337276481	TRUE	1	Twin	FALSE	0	NA	1427110
APH-Inter	6.9015193999502085	81954	chr15	77028965	77317302	77050944	77174849	centromeric	0+1-1*	DKFZ	Rbfox2	-	228098	RDC-chr15-77.1	123905	288337	1.109495594791206e-10	3.4316217590238938	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	6.924327867516623	137035	chr3	109259325	109529325	109282522	109494629	bidirectional	1+1-1*	Wei	Vav3	+	189067	RDC-chr3-109.4	212107	270000	2.856368956474976e-11	4.115703437481884	TRUE	NA	NA	NA	NA	NA	NA
APH-Inter	6.929479385693072	341647	chr10	49220484	49782436	49241386	49751175	bidirectional	1+1-1*	DKFZ	Grik2	-	561952	RDC-chr10-49.5	509789	561952	1.6050889570016728e-21	3.5553321839000227	TRUE	1	Twin	FALSE	0	NA	NA
APH-Inter	7.0075638168619445	901930	chr5	141212272	142242490	141252438	142212814	bidirectional	1+1-1*	Wei+DKFZ	Sdk1	+	974089	RDC-chr5-141.7	960376	1030218	9.159942040067302e-64	5.526552453737047	TRUE	1	Multiple	TRUE	0	NA	NA
APH-Inter	7.018465745005487	588917	chr6	61198332	62162570	61289268	62029109	bidirectional	1+2-1*	DKFZ	Ccser1	+	964238	RDC-chr6-61.7	739841	964238	2.4142790589498382e-42	5.3396302292636575	TRUE	1	Twin	FALSE	0	NA	1159848
APH-Inter	7.02177333434397	19847	chr15	30126472	30294472	30151218	30207698	centromeric	0+1-1*	Wei	Ctnnd2	+	121879	RDC-chr15-30.2	56480	168000	1.2298341845776351e-4	2.9278064565837125	FALSE	2	Multiple	FALSE	0	NA	NA
APH-Inter	7.0700011312367375	153966	chr13	23431779	23841796	23537315	23799544	bidirectional	1+1-1*	Wei	NA	NA	NA	RDC-chr13-23.7	262229	410017	1.5218008427103215e-8	2.982336814617219	TRUE	3	Largely overlap	FALSE	0	NA	NA
APH-Inter	7.070232885847746	961434	chr16	5863456	7235008	6005696	7111513	bidirectional	1+1-1*	Wei+DKFZ	Rbfox1	+	1350215	RDC-chr16-6.6	1105817	1371552	9.7284667204367785e-69	4.559307553310075	TRUE	1	Twin	FALSE	0	NA	374000
APH-Inter	7.110192167934759	57293	chr4	89202343	89464343	89232765	89331152	bidirectional	1+1-1*	DKFZ	Gm12610	+	169163	RDC-chr4-89.3	98387	262000	1.9515912172439847e-9	3.7193457936416543	FALSE	3	Snigle; Largely overlap	FALSE	2	NA	NA
APH-Inter	7.1156144994226445	176143	chr3	86678646	86978646	86735578	86919969	telomeric	1+0-1*	Wei	Lrba	+	104048	RDC-chr3-86.8	184391	300000	1.0004678195424417e-13	4.433696090286174	TRUE	2	Single	FALSE	2	NA	NA
APH-Inter	7.165716079940303	48036	chr10	120323966	120490344	120360011	120458104	bidirectional	1+1-1*	Wei	Hmga2	-	115667	RDC-chr10-120.4	98093	166378	1.2609269257473247e-5	4.216044800058659	FALSE	2	Multiple	FALSE	0	NA	NA
APH-Inter	7.181591882796002	57958	chr5	113803978	114010601	113827694	113904248	bidirectional	1+1-1*	Wei	NA	NA	NA	RDC-chr5-113.9	76554	206623	1.74196579776587e-5	2.9394121175764845	FALSE	NA	NA	NA	NA	NA	NA
