sample	experiment	run	celltype	organism	path	bait_chrom	bait_name	treatment	group	group_short	group_i	control	alleles	concentration	description
PW009	Nrxn1 promoter/enhancer	B400_001	NPC	mouse	PW009_B400_001_result.tlx	chr17	Chr17_41Mb	APH 0.5 uM 96h	Allelic deletion (22)	fndr_22	1	F	1	0.5	ESC-NPC;Nxp047;22; Aphidicolin 0.5 uM 96h
PW010	Nrxn1 promoter/enhancer	B400_001	NPC	mouse	PW010_B400_001_result.tlx	chr17	Chr17_41Mb	DMSO	Allelic deletion (22)	fndr_22	1	T	1	0	ESC-NPC;Nxp047;22; DMSO
PW047	Nrxn1 promoter/enhancer	B400_005	NPC	mouse	PW047_B400_005_result.tlx	chr17	Chr17_41Mb	DMSO	Allelic deletion (22)	fndr_22	2	T	1	0	ESC-NPC;Nxp047;22; DMSO
PW048	Nrxn1 promoter/enhancer	B400_005	NPC	mouse	PW048_B400_005_result.tlx	chr17	Chr17_41Mb	APH 0.5 uM 96h	Allelic deletion (22)	fndr_22	2	F	1	0.5	ESC-NPC;Nxp047;22; Aphidicolin 0.5 uM 96h
PW079	Nrxn1 promoter/enhancer	B400_010	NPC	mouse	PW079_B400_010_result.tlx	chr17	Chr17_41Mb	DMSO	Allelic deletion (22)	fndr_22	3	T	1	0	ESC-NPC;Nxp047;22; DMSO
PW080	Nrxn1 promoter/enhancer	B400_010	NPC	mouse	PW080_B400_010_result.tlx	chr17	Chr17_41Mb	APH 0.5 uM 96h	Allelic deletion (22)	fndr_22	3	F	1	0.5	ESC-NPC;Nxp047;22; Aphidicolin 0.5 uM 96h
PW011	Nrxn1 promoter/enhancer	B400_001	NPC	mouse	PW011_B400_001_result.tlx	chr17	Chr17_41Mb	APH 0.5 uM 96h	Allelic+promoter deletion (22/1)	fndr-prom_22-1	1	F	1	0.5	ESC-NPC;Nxp047;22-1; Aphidicolin 0.5 uM 96h
PW012	Nrxn1 promoter/enhancer	B400_001	NPC	mouse	PW012_B400_001_result.tlx	chr17	Chr17_41Mb	DMSO	Allelic+promoter deletion (22/1)	fndr-prom_22-1	1	T	1	0	ESC-NPC;Nxp047;22-1; DMSO
PW049	Nrxn1 promoter/enhancer	B400_005	NPC	mouse	PW049_B400_005_result.tlx	chr17	Chr17_41Mb	DMSO	Allelic+promoter deletion (22/1)	fndr-prom_22-1	2	T	1	0	ESC-NPC;Nxp047;22-1; DMSO
PW050	Nrxn1 promoter/enhancer	B400_005	NPC	mouse	PW050_B400_005_result.tlx	chr17	Chr17_41Mb	APH 0.5 uM 96h	Allelic+promoter deletion (22/1)	fndr-prom_22-1	2	F	1	0.5	ESC-NPC;Nxp047;22-1; Aphidicolin 0.5 uM 96h
PW081	Nrxn1 promoter/enhancer	B400_012	NPC	mouse	PW081_B400_012_result.tlx	chr17	Chr17_41Mb	DMSO	Allelic+promoter deletion (22/1)	fndr-prom_22-1	3	T	1	0	ESC-NPC;Nxp047;22-1; DMSO
PW082	Nrxn1 promoter/enhancer	B400_012	NPC	mouse	PW082_B400_012_result.tlx	chr17	Chr17_41Mb	APH 0.5 uM 96h	Allelic+promoter deletion (22/1)	fndr-prom_22-1	3	F	1	0.5	ESC-NPC;Nxp047;22-1; Aphidicolin 0.5 uM 96h
PW013	Nrxn1 promoter/enhancer	B400_001	NPC	mouse	PW013_B400_001_result.tlx	chr17	Chr17_41Mb	APH 0.5 uM 96h	Allelic+promoter deletion (22/37)	fndr-prom_22-37	1	F	1	0.5	ESC-NPC;Nxp047;22-37; Aphidicolin 0.5 uM 96h
PW014	Nrxn1 promoter/enhancer	B400_001	NPC	mouse	PW014_B400_001_result.tlx	chr17	Chr17_41Mb	DMSO	Allelic+promoter deletion (22/37)	fndr-prom_22-37	1	T	1	0	ESC-NPC;Nxp047;22-37; DMSO
PW053	Nrxn1 promoter/enhancer	B400_005	NPC	mouse	PW053_B400_005_result.tlx	chr17	Chr17_41Mb	DMSO	Allelic+promoter deletion (22/39)	fndr-prom_22-39	1	T	1	0	ESC-NPC;Nxp047;22-39; DMSO
PW054	Nrxn1 promoter/enhancer	B400_005	NPC	mouse	PW054_B400_005_result.tlx	chr17	Chr17_41Mb	APH 0.5 uM 96h	Allelic+promoter deletion (22/39)	fndr-prom_22-39	1	F	1	0.5	ESC-NPC;Nxp047;22-39; Aphidicolin 0.5 uM 96h
PW088	Nrxn1 promoter/enhancer	B400_012	NPC	mouse	PW088_B400_012_result.tlx	chr17	Chr17_41Mb	DMSO	Allelic+promoter deletion (22/39)	fndr-prom_22-39	2	T	1	0	ESC-NPC;Nxp047;22-39; DMSO
PW089	Nrxn1 promoter/enhancer	B400_012	NPC	mouse	PW089_B400_012_result.tlx	chr17	Chr17_41Mb	APH 0.5 uM 96h	Allelic+promoter deletion (22/39)	fndr-prom_22-39	2	F	1	0.5	ESC-NPC;Nxp047;22-39; Aphidicolin 0.5 uM 96h
PW084	Nrxn1 promoter/enhancer	B400_012	NPC	mouse	PW084_B400_012_result.tlx	chr17	Chr17_41Mb	APH 0.5 uM 96h	Allelic+promoter deletion (22/5)	fndr-prom_22-5	1	F	1	0.5	ESC-NPC;Nxp047;22-5; Aphidicolin 0.5 uM 96h
PW086	Nrxn1 promoter/enhancer	B400_012	NPC	mouse	PW086_B400_012_result.tlx	chr17	Chr17_41Mb	DMSO	Allelic+promoter deletion (22/5)	fndr-prom_22-5	1	T	1	0	ESC-NPC;Nxp047;22-5; DMSO
PW087	Nrxn1 promoter/enhancer	B400_012	NPC	mouse	PW087_B400_012_result.tlx	chr17	Chr17_41Mb	APH 0.5 uM 96h	Allelic+promoter deletion (22/5)	fndr-prom_22-5	2	F	1	0.5	ESC-NPC;Nxp047;22-5; Aphidicolin 0.5 uM 96h
PW005	Nrxn1 promoter/enhancer	B400_001	NPC	mouse	PW005_B400_001_result.tlx	chr17	Chr17_41Mb	APH 0.5 uM 96h	Parental cell (NXP047)	NXP047	1	F	2	0.5	ESC-NPC;Nxp047; Aphidicolin 0.5 uM 96h
PW006	Nrxn1 promoter/enhancer	B400_001	NPC	mouse	PW006_B400_001_result.tlx	chr17	Chr17_41Mb	DMSO	Parental cell (NXP047)	NXP047	1	T	2	0	ESC-NPC;Nxp047; DMSO
PW045	Nrxn1 promoter/enhancer	B400_005	NPC	mouse	PW045_B400_005_result.tlx	chr17	Chr17_41Mb	DMSO	Parental cell (NXP047)	NXP047	2	T	2	0	ESC-NPC;Nxp047; DMSO
PW046	Nrxn1 promoter/enhancer	B400_005	NPC	mouse	PW046_B400_005_result.tlx	chr17	Chr17_41Mb	APH 0.5 uM 96h	Parental cell (NXP047)	NXP047	2	F	2	0.5	ESC-NPC;Nxp047; Aphidicolin 0.5 uM 96h
BD001	Sonic hedgehog + Smoothened agonist	B400_015	NPC	mouse	BD001_B400_015_result.tlx	chr6	Chr6_70Mb	no treatment	no treatment		1	T	2		CGNPs;Atoh1-EGFP; No treatment
BD004	Sonic hedgehog + Smoothened agonist	B400_015	NPC	mouse	BD004_B400_015_result.tlx	chr6	Chr6_70Mb	SAG	SAG		1	F	2		CGNPs;Atoh1-EGFP; SAG
BD002	Sonic hedgehog + Smoothened agonist	B400_015	NPC	mouse	BD002_B400_015_result.tlx	chr6	Chr6_70Mb	SHH 0.22 ug/ml	SHH 0.22 ug/ml		1	F	2		CGNPs;Atoh1-EGFP; SHH 0.22 ug/ml
BD003	Sonic hedgehog + Smoothened agonist	B400_015	NPC	mouse	BD003_B400_015_result.tlx	chr6	Chr6_70Mb	SHH 1 ug/ml	SHH 1 ug/ml		1	F	2		CGNPs;Atoh1-EGFP; SHH 1 ug/ml
SRR6283674	Wei et al. PNAS 2018	Wei2018_Chr1	NPC	mouse	Wei2018/SRR6283674_WEI2018_result.tlx	chr1	Chr1_41Mb	DMSO	chr1	chr1	1	T	2	0	From Wei et al. PNAS 2018; bait on chr1
SRR6283675	Wei et al. PNAS 2018	Wei2018_Chr1	NPC	mouse	Wei2018/SRR6283675_WEI2018_result.tlx	chr1	Chr1_41Mb	DMSO	chr1	chr1	2	T	2	0	From Wei et al. PNAS 2018; bait on chr1
SRR6283676	Wei et al. PNAS 2018	Wei2018_Chr1	NPC	mouse	Wei2018/SRR6283676_WEI2018_result.tlx	chr1	Chr1_41Mb	DMSO	chr1	chr1	3	T	2	0	From Wei et al. PNAS 2018; bait on chr1
SRR6283677	Wei et al. PNAS 2018	Wei2018_Chr1	NPC	mouse	Wei2018/SRR6283677_WEI2018_result.tlx	chr1	Chr1_41Mb	APH 0.5uM	chr1	chr1	1	F	2	0.5	From Wei et al. PNAS 2018; bait on chr1
SRR6283678	Wei et al. PNAS 2018	Wei2018_Chr1	NPC	mouse	Wei2018/SRR6283678_WEI2018_result.tlx	chr1	Chr1_41Mb	APH 0.5uM	chr1	chr1	2	F	2	0.5	From Wei et al. PNAS 2018; bait on chr1
SRR6283679	Wei et al. PNAS 2018	Wei2018_Chr1	NPC	mouse	Wei2018/SRR6283679_WEI2018_result.tlx	chr1	Chr1_41Mb	APH 0.5uM	chr1	chr1	3	F	2	0.5	From Wei et al. PNAS 2018; bait on chr1
SRR6283680	Wei et al. PNAS 2018	Wei2018_Chr2	NPC	mouse	Wei2018/SRR6283680_WEI2018_result.tlx	chr2	Chr2_129Mb	DMSO	chr2	chr2	1	T	2	0	From Wei et al. PNAS 2018; bait on chr2
SRR6283681	Wei et al. PNAS 2018	Wei2018_Chr2	NPC	mouse	Wei2018/SRR6283681_WEI2018_result.tlx	chr2	Chr2_129Mb	DMSO	chr2	chr2	2	T	2	0	From Wei et al. PNAS 2018; bait on chr2
SRR6283682	Wei et al. PNAS 2018	Wei2018_Chr2	NPC	mouse	Wei2018/SRR6283682_WEI2018_result.tlx	chr2	Chr2_129Mb	DMSO	chr2	chr2	3	T	2	0	From Wei et al. PNAS 2018; bait on chr2
SRR6283683	Wei et al. PNAS 2018	Wei2018_Chr2	NPC	mouse	Wei2018/SRR6283683_WEI2018_result.tlx	chr2	Chr2_129Mb	APH 0.5uM	chr2	chr2	1	F	2	0.5	From Wei et al. PNAS 2018; bait on chr2
SRR6283684	Wei et al. PNAS 2018	Wei2018_Chr2	NPC	mouse	Wei2018/SRR6283684_WEI2018_result.tlx	chr2	Chr2_129Mb	APH 0.5uM	chr2	chr2	2	F	2	0.5	From Wei et al. PNAS 2018; bait on chr2
SRR6283685	Wei et al. PNAS 2018	Wei2018_Chr2	NPC	mouse	Wei2018/SRR6283685_WEI2018_result.tlx	chr2	Chr2_129Mb	APH 0.5uM	chr2	chr2	3	F	2	0.5	From Wei et al. PNAS 2018; bait on chr2
SRR6283686	Wei et al. PNAS 2018	Wei2018_Chr3	NPC	mouse	Wei2018/SRR6283686_WEI2018_result.tlx	chr3	Chr3_47Mb	DMSO	chr3	chr3	1	T	2	0	From Wei et al. PNAS 2018; bait on chr3
SRR6283687	Wei et al. PNAS 2018	Wei2018_Chr3	NPC	mouse	Wei2018/SRR6283687_WEI2018_result.tlx	chr3	Chr3_47Mb	DMSO	chr3	chr3	2	T	2	0	From Wei et al. PNAS 2018; bait on chr3
SRR6283688	Wei et al. PNAS 2018	Wei2018_Chr3	NPC	mouse	Wei2018/SRR6283688_WEI2018_result.tlx	chr3	Chr3_47Mb	DMSO	chr3	chr3	3	T	2	0	From Wei et al. PNAS 2018; bait on chr3
SRR6283689	Wei et al. PNAS 2018	Wei2018_Chr3	NPC	mouse	Wei2018/SRR6283689_WEI2018_result.tlx	chr3	Chr3_47Mb	APH 0.5uM	chr3	chr3	1	F	2	0.5	From Wei et al. PNAS 2018; bait on chr3
SRR6283690	Wei et al. PNAS 2018	Wei2018_Chr3	NPC	mouse	Wei2018/SRR6283690_WEI2018_result.tlx	chr3	Chr3_47Mb	APH 0.5uM	chr3	chr3	2	F	2	0.5	From Wei et al. PNAS 2018; bait on chr3
SRR6283691	Wei et al. PNAS 2018	Wei2018_Chr3	NPC	mouse	Wei2018/SRR6283691_WEI2018_result.tlx	chr3	Chr3_47Mb	APH 0.5uM	chr3	chr3	3	F	2	0.5	From Wei et al. PNAS 2018; bait on chr3
SRR6283692	Wei et al. PNAS 2018	Wei2018_Chr4	NPC	mouse	Wei2018/SRR6283692_WEI2018_result.tlx	chr4	Chr4_51Mb	DMSO	chr4	chr4	1	T	2	0	From Wei et al. PNAS 2018; bait on chr4
SRR6283693	Wei et al. PNAS 2018	Wei2018_Chr4	NPC	mouse	Wei2018/SRR6283693_WEI2018_result.tlx	chr4	Chr4_51Mb	DMSO	chr4	chr4	2	T	2	0	From Wei et al. PNAS 2018; bait on chr4
SRR6283694	Wei et al. PNAS 2018	Wei2018_Chr4	NPC	mouse	Wei2018/SRR6283694_WEI2018_result.tlx	chr4	Chr4_51Mb	DMSO	chr4	chr4	3	T	2	0	From Wei et al. PNAS 2018; bait on chr4
SRR6283695	Wei et al. PNAS 2018	Wei2018_Chr4	NPC	mouse	Wei2018/SRR6283695_WEI2018_result.tlx	chr4	Chr4_51Mb	APH 0.5uM	chr4	chr4	1	F	2	0.5	From Wei et al. PNAS 2018; bait on chr4
SRR6283696	Wei et al. PNAS 2018	Wei2018_Chr4	NPC	mouse	Wei2018/SRR6283696_WEI2018_result.tlx	chr4	Chr4_51Mb	APH 0.5uM	chr4	chr4	2	F	2	0.5	From Wei et al. PNAS 2018; bait on chr4
SRR6283697	Wei et al. PNAS 2018	Wei2018_Chr4	NPC	mouse	Wei2018/SRR6283697_WEI2018_result.tlx	chr4	Chr4_51Mb	APH 0.5uM	chr4	chr4	3	F	2	0.5	From Wei et al. PNAS 2018; bait on chr4
SRR6283698	Wei et al. PNAS 2018	Wei2018_Chr5	NPC	mouse	Wei2018/SRR6283698_WEI2018_result.tlx	chr5	Chr5_101Mb	DMSO	chr5	chr5	1	T	2	0	From Wei et al. PNAS 2018; bait on chr5
SRR6283699	Wei et al. PNAS 2018	Wei2018_Chr5	NPC	mouse	Wei2018/SRR6283699_WEI2018_result.tlx	chr5	Chr5_101Mb	DMSO	chr5	chr5	2	T	2	0	From Wei et al. PNAS 2018; bait on chr5
SRR6283700	Wei et al. PNAS 2018	Wei2018_Chr5	NPC	mouse	Wei2018/SRR6283700_WEI2018_result.tlx	chr5	Chr5_101Mb	DMSO	chr5	chr5	3	T	2	0	From Wei et al. PNAS 2018; bait on chr5
SRR6283701	Wei et al. PNAS 2018	Wei2018_Chr5	NPC	mouse	Wei2018/SRR6283701_WEI2018_result.tlx	chr5	Chr5_101Mb	APH 0.5uM	chr5	chr5	1	F	2	0.5	From Wei et al. PNAS 2018; bait on chr5
SRR6283702	Wei et al. PNAS 2018	Wei2018_Chr5	NPC	mouse	Wei2018/SRR6283702_WEI2018_result.tlx	chr5	Chr5_101Mb	APH 0.5uM	chr5	chr5	2	F	2	0.5	From Wei et al. PNAS 2018; bait on chr5
SRR6283703	Wei et al. PNAS 2018	Wei2018_Chr5	NPC	mouse	Wei2018/SRR6283703_WEI2018_result.tlx	chr5	Chr5_101Mb	APH 0.5uM	chr5	chr5	3	F	2	0.5	From Wei et al. PNAS 2018; bait on chr5
SRR6283704	Wei et al. PNAS 2018	Wei2018_Chr6	NPC	mouse	Wei2018/SRR6283704_WEI2018_result.tlx	chr6	Chr6_70Mb	DMSO	chr6	chr6	1	T	2	0	From Wei et al. PNAS 2018; bait on chr6
SRR6283705	Wei et al. PNAS 2018	Wei2018_Chr6	NPC	mouse	Wei2018/SRR6283705_WEI2018_result.tlx	chr6	Chr6_70Mb	DMSO	chr6	chr6	2	T	2	0	From Wei et al. PNAS 2018; bait on chr6
SRR6283706	Wei et al. PNAS 2018	Wei2018_Chr6	NPC	mouse	Wei2018/SRR6283706_WEI2018_result.tlx	chr6	Chr6_70Mb	DMSO	chr6	chr6	3	T	2	0	From Wei et al. PNAS 2018; bait on chr6
SRR6283707	Wei et al. PNAS 2018	Wei2018_Chr6	NPC	mouse	Wei2018/SRR6283707_WEI2018_result.tlx	chr6	Chr6_70Mb	APH 0.5uM	chr6	chr6	1	F	2	0.5	From Wei et al. PNAS 2018; bait on chr6
SRR6283708	Wei et al. PNAS 2018	Wei2018_Chr6	NPC	mouse	Wei2018/SRR6283708_WEI2018_result.tlx	chr6	Chr6_70Mb	APH 0.5uM	chr6	chr6	2	F	2	0.5	From Wei et al. PNAS 2018; bait on chr6
SRR6283709	Wei et al. PNAS 2018	Wei2018_Chr6	NPC	mouse	Wei2018/SRR6283709_WEI2018_result.tlx	chr6	Chr6_70Mb	APH 0.5uM	chr6	chr6	3	F	2	0.5	From Wei et al. PNAS 2018; bait on chr6
SRR6283710	Wei et al. PNAS 2018	Wei2018_Chr7	NPC	mouse	Wei2018/SRR6283710_WEI2018_result.tlx	chr7	Chr7_80Mb	DMSO	chr7	chr7	1	T	2	0	From Wei et al. PNAS 2018; bait on chr7
SRR6283711	Wei et al. PNAS 2018	Wei2018_Chr7	NPC	mouse	Wei2018/SRR6283711_WEI2018_result.tlx	chr7	Chr7_80Mb	DMSO	chr7	chr7	2	T	2	0	From Wei et al. PNAS 2018; bait on chr7
SRR6283712	Wei et al. PNAS 2018	Wei2018_Chr7	NPC	mouse	Wei2018/SRR6283712_WEI2018_result.tlx	chr7	Chr7_80Mb	DMSO	chr7	chr7	3	T	2	0	From Wei et al. PNAS 2018; bait on chr7
SRR6283713	Wei et al. PNAS 2018	Wei2018_Chr7	NPC	mouse	Wei2018/SRR6283713_WEI2018_result.tlx	chr7	Chr7_80Mb	APH 0.5uM	chr7	chr7	1	F	2	0.5	From Wei et al. PNAS 2018; bait on chr7
SRR6283714	Wei et al. PNAS 2018	Wei2018_Chr7	NPC	mouse	Wei2018/SRR6283714_WEI2018_result.tlx	chr7	Chr7_80Mb	APH 0.5uM	chr7	chr7	2	F	2	0.5	From Wei et al. PNAS 2018; bait on chr7
SRR6283715	Wei et al. PNAS 2018	Wei2018_Chr7	NPC	mouse	Wei2018/SRR6283715_WEI2018_result.tlx	chr7	Chr7_80Mb	APH 0.5uM	chr7	chr7	3	F	2	0.5	From Wei et al. PNAS 2018; bait on chr7
SRR6283716	Wei et al. PNAS 2018	Wei2018_Chr8	NPC	mouse	Wei2018/SRR6283716_WEI2018_result.tlx	chr8	Chr8_61Mb	DMSO	chr8	chr8	1	T	2	0	From Wei et al. PNAS 2018; bait on chr8
SRR6283717	Wei et al. PNAS 2018	Wei2018_Chr8	NPC	mouse	Wei2018/SRR6283717_WEI2018_result.tlx	chr8	Chr8_61Mb	DMSO	chr8	chr8	2	T	2	0	From Wei et al. PNAS 2018; bait on chr8
SRR6283718	Wei et al. PNAS 2018	Wei2018_Chr8	NPC	mouse	Wei2018/SRR6283718_WEI2018_result.tlx	chr8	Chr8_61Mb	DMSO	chr8	chr8	3	T	2	0	From Wei et al. PNAS 2018; bait on chr8
SRR6283719	Wei et al. PNAS 2018	Wei2018_Chr8	NPC	mouse	Wei2018/SRR6283719_WEI2018_result.tlx	chr8	Chr8_61Mb	APH 0.5uM	chr8	chr8	1	F	2	0.5	From Wei et al. PNAS 2018; bait on chr8
SRR6283720	Wei et al. PNAS 2018	Wei2018_Chr8	NPC	mouse	Wei2018/SRR6283720_WEI2018_result.tlx	chr8	Chr8_61Mb	APH 0.5uM	chr8	chr8	2	F	2	0.5	From Wei et al. PNAS 2018; bait on chr8
SRR6283721	Wei et al. PNAS 2018	Wei2018_Chr8	NPC	mouse	Wei2018/SRR6283721_WEI2018_result.tlx	chr8	Chr8_61Mb	APH 0.5uM	chr8	chr8	3	F	2	0.5	From Wei et al. PNAS 2018; bait on chr8
SRR6283722	Wei et al. PNAS 2018	Wei2018_Chr9	NPC	mouse	Wei2018/SRR6283722_WEI2018_result.tlx	chr9	Chr9_25Mb	DMSO	chr9	chr9	1	T	2	0	From Wei et al. PNAS 2018; bait on chr9
SRR6283723	Wei et al. PNAS 2018	Wei2018_Chr9	NPC	mouse	Wei2018/SRR6283723_WEI2018_result.tlx	chr9	Chr9_25Mb	DMSO	chr9	chr9	2	T	2	0	From Wei et al. PNAS 2018; bait on chr9
SRR6283724	Wei et al. PNAS 2018	Wei2018_Chr9	NPC	mouse	Wei2018/SRR6283724_WEI2018_result.tlx	chr9	Chr9_25Mb	DMSO	chr9	chr9	3	T	2	0	From Wei et al. PNAS 2018; bait on chr9
SRR6283725	Wei et al. PNAS 2018	Wei2018_Chr9	NPC	mouse	Wei2018/SRR6283725_WEI2018_result.tlx	chr9	Chr9_25Mb	APH 0.5uM	chr9	chr9	1	F	2	0.5	From Wei et al. PNAS 2018; bait on chr9
SRR6283726	Wei et al. PNAS 2018	Wei2018_Chr9	NPC	mouse	Wei2018/SRR6283726_WEI2018_result.tlx	chr9	Chr9_25Mb	APH 0.5uM	chr9	chr9	2	F	2	0.5	From Wei et al. PNAS 2018; bait on chr9
SRR6283727	Wei et al. PNAS 2018	Wei2018_Chr9	NPC	mouse	Wei2018/SRR6283727_WEI2018_result.tlx	chr9	Chr9_25Mb	APH 0.5uM	chr9	chr9	3	F	2	0.5	From Wei et al. PNAS 2018; bait on chr9
SRR6283728	Wei et al. PNAS 2018	Wei2018_Chr10	NPC	mouse	Wei2018/SRR6283728_WEI2018_result.tlx	chr10	Chr10_80Mb	DMSO	chr10	chr10	1	T	2	0	From Wei et al. PNAS 2018; bait on chr10
SRR6283729	Wei et al. PNAS 2018	Wei2018_Chr10	NPC	mouse	Wei2018/SRR6283729_WEI2018_result.tlx	chr10	Chr10_80Mb	DMSO	chr10	chr10	2	T	2	0	From Wei et al. PNAS 2018; bait on chr10
SRR6283730	Wei et al. PNAS 2018	Wei2018_Chr10	NPC	mouse	Wei2018/SRR6283730_WEI2018_result.tlx	chr10	Chr10_80Mb	DMSO	chr10	chr10	3	T	2	0	From Wei et al. PNAS 2018; bait on chr10
SRR6283731	Wei et al. PNAS 2018	Wei2018_Chr10	NPC	mouse	Wei2018/SRR6283731_WEI2018_result.tlx	chr10	Chr10_80Mb	APH 0.5uM	chr10	chr10	1	F	2	0.5	From Wei et al. PNAS 2018; bait on chr10
SRR6283732	Wei et al. PNAS 2018	Wei2018_Chr10	NPC	mouse	Wei2018/SRR6283732_WEI2018_result.tlx	chr10	Chr10_80Mb	APH 0.5uM	chr10	chr10	2	F	2	0.5	From Wei et al. PNAS 2018; bait on chr10
SRR6283733	Wei et al. PNAS 2018	Wei2018_Chr10	NPC	mouse	Wei2018/SRR6283733_WEI2018_result.tlx	chr10	Chr10_80Mb	APH 0.5uM	chr10	chr10	3	F	2	0.5	From Wei et al. PNAS 2018; bait on chr10
SRR6283734	Wei et al. PNAS 2018	Wei2018_Chr11	NPC	mouse	Wei2018/SRR6283734_WEI2018_result.tlx	chr11	Chr11_38Mb	DMSO	chr11	chr11	1	T	2	0	From Wei et al. PNAS 2018; bait on chr11
SRR6283735	Wei et al. PNAS 2018	Wei2018_Chr11	NPC	mouse	Wei2018/SRR6283735_WEI2018_result.tlx	chr11	Chr11_38Mb	DMSO	chr11	chr11	2	T	2	0	From Wei et al. PNAS 2018; bait on chr11
SRR6283736	Wei et al. PNAS 2018	Wei2018_Chr11	NPC	mouse	Wei2018/SRR6283736_WEI2018_result.tlx	chr11	Chr11_38Mb	DMSO	chr11	chr11	3	T	2	0	From Wei et al. PNAS 2018; bait on chr11
SRR6283737	Wei et al. PNAS 2018	Wei2018_Chr11	NPC	mouse	Wei2018/SRR6283737_WEI2018_result.tlx	chr11	Chr11_38Mb	APH 0.5uM	chr11	chr11	1	F	2	0.5	From Wei et al. PNAS 2018; bait on chr11
SRR6283738	Wei et al. PNAS 2018	Wei2018_Chr11	NPC	mouse	Wei2018/SRR6283738_WEI2018_result.tlx	chr11	Chr11_38Mb	APH 0.5uM	chr11	chr11	2	F	2	0.5	From Wei et al. PNAS 2018; bait on chr11
SRR6283739	Wei et al. PNAS 2018	Wei2018_Chr11	NPC	mouse	Wei2018/SRR6283739_WEI2018_result.tlx	chr11	Chr11_38Mb	APH 0.5uM	chr11	chr11	3	F	2	0.5	From Wei et al. PNAS 2018; bait on chr11
SRR6283740	Wei et al. PNAS 2018	Wei2018_Chr13	NPC	mouse	Wei2018/SRR6283740_WEI2018_result.tlx	chr13	Chr13_57Mb	DMSO	chr13	chr13	1	T	2	0	From Wei et al. PNAS 2018; bait on chr13
SRR6283741	Wei et al. PNAS 2018	Wei2018_Chr13	NPC	mouse	Wei2018/SRR6283741_WEI2018_result.tlx	chr13	Chr13_57Mb	DMSO	chr13	chr13	2	T	2	0	From Wei et al. PNAS 2018; bait on chr13
SRR6283742	Wei et al. PNAS 2018	Wei2018_Chr13	NPC	mouse	Wei2018/SRR6283742_WEI2018_result.tlx	chr13	Chr13_57Mb	DMSO	chr13	chr13	3	T	2	0	From Wei et al. PNAS 2018; bait on chr13
SRR6283743	Wei et al. PNAS 2018	Wei2018_Chr13	NPC	mouse	Wei2018/SRR6283743_WEI2018_result.tlx	chr13	Chr13_57Mb	DMSO	chr13	chr13	4	T	2	0	From Wei et al. PNAS 2018; bait on chr13
SRR6283744	Wei et al. PNAS 2018	Wei2018_Chr13	NPC	mouse	Wei2018/SRR6283744_WEI2018_result.tlx	chr13	Chr13_57Mb	DMSO	chr13	chr13	5	T	2	0	From Wei et al. PNAS 2018; bait on chr13
SRR6283745	Wei et al. PNAS 2018	Wei2018_Chr13	NPC	mouse	Wei2018/SRR6283745_WEI2018_result.tlx	chr13	Chr13_57Mb	APH 0.5uM	chr13	chr13	1	F	2	0.5	From Wei et al. PNAS 2018; bait on chr13
SRR6283746	Wei et al. PNAS 2018	Wei2018_Chr13	NPC	mouse	Wei2018/SRR6283746_WEI2018_result.tlx	chr13	Chr13_57Mb	APH 0.5uM	chr13	chr13	2	F	2	0.5	From Wei et al. PNAS 2018; bait on chr13
SRR6283747	Wei et al. PNAS 2018	Wei2018_Chr13	NPC	mouse	Wei2018/SRR6283747_WEI2018_result.tlx	chr13	Chr13_57Mb	APH 0.5uM	chr13	chr13	3	F	2	0.5	From Wei et al. PNAS 2018; bait on chr13
SRR6283748	Wei et al. PNAS 2018	Wei2018_Chr13	NPC	mouse	Wei2018/SRR6283748_WEI2018_result.tlx	chr13	Chr13_57Mb	APH 0.5uM	chr13	chr13	4	F	2	0.5	From Wei et al. PNAS 2018; bait on chr13
SRR6283749	Wei et al. PNAS 2018	Wei2018_Chr13	NPC	mouse	Wei2018/SRR6283749_WEI2018_result.tlx	chr13	Chr13_57Mb	APH 0.5uM	chr13	chr13	5	F	2	0.5	From Wei et al. PNAS 2018; bait on chr13
SRR6283750	Wei et al. PNAS 2018	Wei2018_Chr14	NPC	mouse	Wei2018/SRR6283750_WEI2018_result.tlx	chr14	Chr14_83Mb	DMSO	chr14	chr14	1	T	2	0	From Wei et al. PNAS 2018; bait on chr14
SRR6283751	Wei et al. PNAS 2018	Wei2018_Chr14	NPC	mouse	Wei2018/SRR6283751_WEI2018_result.tlx	chr14	Chr14_83Mb	DMSO	chr14	chr14	2	T	2	0	From Wei et al. PNAS 2018; bait on chr14
SRR6283752	Wei et al. PNAS 2018	Wei2018_Chr14	NPC	mouse	Wei2018/SRR6283752_WEI2018_result.tlx	chr14	Chr14_83Mb	DMSO	chr14	chr14	3	T	2	0	From Wei et al. PNAS 2018; bait on chr14
SRR6283753	Wei et al. PNAS 2018	Wei2018_Chr14	NPC	mouse	Wei2018/SRR6283753_WEI2018_result.tlx	chr14	Chr14_83Mb	APH 0.5uM	chr14	chr14	1	F	2	0.5	From Wei et al. PNAS 2018; bait on chr14
SRR6283754	Wei et al. PNAS 2018	Wei2018_Chr14	NPC	mouse	Wei2018/SRR6283754_WEI2018_result.tlx	chr14	Chr14_83Mb	APH 0.5uM	chr14	chr14	2	F	2	0.5	From Wei et al. PNAS 2018; bait on chr14
