sample	experiment	run	celltype	treatment	group	group_short	control	organism	path	path_original	bait_chrom	bait_name	alleles	concentration	description	study_geo	subset_detect_offtargets	subset_detect_rdc	subset_aph_concentration	subset_promoter_enhancer_deletion	subset_multiomics_examples	subset_pileups	instrument_model	platform
SRR6283679	Wei et al. PNAS 2018	Wei2018_Chr1	NPC	APH 0.5uM	chr1	chr1	FALSE	mouse	Wei2018/SRR6283679_WEI2018_result.tlx	Wei2018/SRR6283679_WEI2018_result.tlx	chr1	Chr1_41Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr1	GSE106822	Y	Y	N	N	Y	Y		
SRR6283680	Wei et al. PNAS 2018	Wei2018_Chr2	NPC	DMSO	chr2	chr2	TRUE	mouse	Wei2018/SRR6283680_WEI2018_result.tlx	Wei2018/SRR6283680_WEI2018_result.tlx	chr2	Chr2_129Mb	2	0	From Wei et al. PNAS 2018; bait on chr2	GSE106822	Y	Y	N	N	N	N		
SRR6283681	Wei et al. PNAS 2018	Wei2018_Chr2	NPC	DMSO	chr2	chr2	TRUE	mouse	Wei2018/SRR6283681_WEI2018_result.tlx	Wei2018/SRR6283681_WEI2018_result.tlx	chr2	Chr2_129Mb	2	0	From Wei et al. PNAS 2018; bait on chr2	GSE106822	Y	Y	N	N	N	N		
SRR6283682	Wei et al. PNAS 2018	Wei2018_Chr2	NPC	DMSO	chr2	chr2	TRUE	mouse	Wei2018/SRR6283682_WEI2018_result.tlx	Wei2018/SRR6283682_WEI2018_result.tlx	chr2	Chr2_129Mb	2	0	From Wei et al. PNAS 2018; bait on chr2	GSE106822	Y	Y	N	N	N	N		
SRR6283683	Wei et al. PNAS 2018	Wei2018_Chr2	NPC	APH 0.5uM	chr2	chr2	FALSE	mouse	Wei2018/SRR6283683_WEI2018_result.tlx	Wei2018/SRR6283683_WEI2018_result.tlx	chr2	Chr2_129Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr2	GSE106822	Y	Y	N	N	Y	Y		
SRR6283684	Wei et al. PNAS 2018	Wei2018_Chr2	NPC	APH 0.5uM	chr2	chr2	FALSE	mouse	Wei2018/SRR6283684_WEI2018_result.tlx	Wei2018/SRR6283684_WEI2018_result.tlx	chr2	Chr2_129Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr2	GSE106822	Y	Y	N	N	Y	Y		
SRR6283685	Wei et al. PNAS 2018	Wei2018_Chr2	NPC	APH 0.5uM	chr2	chr2	FALSE	mouse	Wei2018/SRR6283685_WEI2018_result.tlx	Wei2018/SRR6283685_WEI2018_result.tlx	chr2	Chr2_129Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr2	GSE106822	Y	Y	N	N	Y	Y		
SRR6283686	Wei et al. PNAS 2018	Wei2018_Chr3	NPC	DMSO	chr3	chr3	TRUE	mouse	Wei2018/SRR6283686_WEI2018_result.tlx	Wei2018/SRR6283686_WEI2018_result.tlx	chr3	Chr3_47Mb	2	0	From Wei et al. PNAS 2018; bait on chr3	GSE106822	Y	Y	N	N	N	N		
SRR6283687	Wei et al. PNAS 2018	Wei2018_Chr3	NPC	DMSO	chr3	chr3	TRUE	mouse	Wei2018/SRR6283687_WEI2018_result.tlx	Wei2018/SRR6283687_WEI2018_result.tlx	chr3	Chr3_47Mb	2	0	From Wei et al. PNAS 2018; bait on chr3	GSE106822	Y	Y	N	N	N	N		
SRR6283688	Wei et al. PNAS 2018	Wei2018_Chr3	NPC	DMSO	chr3	chr3	TRUE	mouse	Wei2018/SRR6283688_WEI2018_result.tlx	Wei2018/SRR6283688_WEI2018_result.tlx	chr3	Chr3_47Mb	2	0	From Wei et al. PNAS 2018; bait on chr3	GSE106822	Y	Y	N	N	N	N		
SRR6283689	Wei et al. PNAS 2018	Wei2018_Chr3	NPC	APH 0.5uM	chr3	chr3	FALSE	mouse	Wei2018/SRR6283689_WEI2018_result.tlx	Wei2018/SRR6283689_WEI2018_result.tlx	chr3	Chr3_47Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr3	GSE106822	Y	Y	N	N	Y	Y		
SRR6283690	Wei et al. PNAS 2018	Wei2018_Chr3	NPC	APH 0.5uM	chr3	chr3	FALSE	mouse	Wei2018/SRR6283690_WEI2018_result.tlx	Wei2018/SRR6283690_WEI2018_result.tlx	chr3	Chr3_47Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr3	GSE106822	Y	Y	N	N	Y	Y		
SRR6283691	Wei et al. PNAS 2018	Wei2018_Chr3	NPC	APH 0.5uM	chr3	chr3	FALSE	mouse	Wei2018/SRR6283691_WEI2018_result.tlx	Wei2018/SRR6283691_WEI2018_result.tlx	chr3	Chr3_47Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr3	GSE106822	Y	Y	N	N	Y	Y		
SRR6283692	Wei et al. PNAS 2018	Wei2018_Chr4	NPC	DMSO	chr4	chr4	TRUE	mouse	Wei2018/SRR6283692_WEI2018_result.tlx	Wei2018/SRR6283692_WEI2018_result.tlx	chr4	Chr4_51Mb	2	0	From Wei et al. PNAS 2018; bait on chr4	GSE106822	Y	Y	N	N	N	N		
SRR6283693	Wei et al. PNAS 2018	Wei2018_Chr4	NPC	DMSO	chr4	chr4	TRUE	mouse	Wei2018/SRR6283693_WEI2018_result.tlx	Wei2018/SRR6283693_WEI2018_result.tlx	chr4	Chr4_51Mb	2	0	From Wei et al. PNAS 2018; bait on chr4	GSE106822	Y	Y	N	N	N	N		
SRR6283694	Wei et al. PNAS 2018	Wei2018_Chr4	NPC	DMSO	chr4	chr4	TRUE	mouse	Wei2018/SRR6283694_WEI2018_result.tlx	Wei2018/SRR6283694_WEI2018_result.tlx	chr4	Chr4_51Mb	2	0	From Wei et al. PNAS 2018; bait on chr4	GSE106822	Y	Y	N	N	N	N		
SRR6283695	Wei et al. PNAS 2018	Wei2018_Chr4	NPC	APH 0.5uM	chr4	chr4	FALSE	mouse	Wei2018/SRR6283695_WEI2018_result.tlx	Wei2018/SRR6283695_WEI2018_result.tlx	chr4	Chr4_51Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr4	GSE106822	Y	Y	N	N	Y	Y		
SRR6283696	Wei et al. PNAS 2018	Wei2018_Chr4	NPC	APH 0.5uM	chr4	chr4	FALSE	mouse	Wei2018/SRR6283696_WEI2018_result.tlx	Wei2018/SRR6283696_WEI2018_result.tlx	chr4	Chr4_51Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr4	GSE106822	Y	Y	N	N	Y	Y		
SRR6283697	Wei et al. PNAS 2018	Wei2018_Chr4	NPC	APH 0.5uM	chr4	chr4	FALSE	mouse	Wei2018/SRR6283697_WEI2018_result.tlx	Wei2018/SRR6283697_WEI2018_result.tlx	chr4	Chr4_51Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr4	GSE106822	Y	Y	N	N	Y	Y		
SRR6283698	Wei et al. PNAS 2018	Wei2018_Chr5	NPC	DMSO	chr5	chr5	TRUE	mouse	Wei2018/SRR6283698_WEI2018_result.tlx	Wei2018/SRR6283698_WEI2018_result.tlx	chr5	Chr5_101Mb	2	0	From Wei et al. PNAS 2018; bait on chr5	GSE106822	Y	Y	N	N	N	N		
SRR6283699	Wei et al. PNAS 2018	Wei2018_Chr5	NPC	DMSO	chr5	chr5	TRUE	mouse	Wei2018/SRR6283699_WEI2018_result.tlx	Wei2018/SRR6283699_WEI2018_result.tlx	chr5	Chr5_101Mb	2	0	From Wei et al. PNAS 2018; bait on chr5	GSE106822	Y	Y	N	N	N	N		
SRR6283700	Wei et al. PNAS 2018	Wei2018_Chr5	NPC	DMSO	chr5	chr5	TRUE	mouse	Wei2018/SRR6283700_WEI2018_result.tlx	Wei2018/SRR6283700_WEI2018_result.tlx	chr5	Chr5_101Mb	2	0	From Wei et al. PNAS 2018; bait on chr5	GSE106822	Y	Y	N	N	N	N		
SRR6283701	Wei et al. PNAS 2018	Wei2018_Chr5	NPC	APH 0.5uM	chr5	chr5	FALSE	mouse	Wei2018/SRR6283701_WEI2018_result.tlx	Wei2018/SRR6283701_WEI2018_result.tlx	chr5	Chr5_101Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr5	GSE106822	Y	Y	N	N	Y	Y		
SRR6283702	Wei et al. PNAS 2018	Wei2018_Chr5	NPC	APH 0.5uM	chr5	chr5	FALSE	mouse	Wei2018/SRR6283702_WEI2018_result.tlx	Wei2018/SRR6283702_WEI2018_result.tlx	chr5	Chr5_101Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr5	GSE106822	Y	Y	N	N	Y	Y		
SRR6283703	Wei et al. PNAS 2018	Wei2018_Chr5	NPC	APH 0.5uM	chr5	chr5	FALSE	mouse	Wei2018/SRR6283703_WEI2018_result.tlx	Wei2018/SRR6283703_WEI2018_result.tlx	chr5	Chr5_101Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr5	GSE106822	Y	Y	N	N	Y	Y		
SRR6283704	Wei et al. PNAS 2018	Wei2018_Chr6	NPC	DMSO	chr6	chr6	TRUE	mouse	Wei2018/SRR6283704_WEI2018_result.tlx	Wei2018/SRR6283704_WEI2018_result.tlx	chr6	Chr6_70Mb	2	0	From Wei et al. PNAS 2018; bait on chr6	GSE106822	Y	Y	N	N	N	N		
SRR6283705	Wei et al. PNAS 2018	Wei2018_Chr6	NPC	DMSO	chr6	chr6	TRUE	mouse	Wei2018/SRR6283705_WEI2018_result.tlx	Wei2018/SRR6283705_WEI2018_result.tlx	chr6	Chr6_70Mb	2	0	From Wei et al. PNAS 2018; bait on chr6	GSE106822	Y	Y	N	N	N	N		
SRR6283706	Wei et al. PNAS 2018	Wei2018_Chr6	NPC	DMSO	chr6	chr6	TRUE	mouse	Wei2018/SRR6283706_WEI2018_result.tlx	Wei2018/SRR6283706_WEI2018_result.tlx	chr6	Chr6_70Mb	2	0	From Wei et al. PNAS 2018; bait on chr6	GSE106822	Y	Y	N	N	N	N		
SRR6283707	Wei et al. PNAS 2018	Wei2018_Chr6	NPC	APH 0.5uM	chr6	chr6	FALSE	mouse	Wei2018/SRR6283707_WEI2018_result.tlx	Wei2018/SRR6283707_WEI2018_result.tlx	chr6	Chr6_70Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr6	GSE106822	Y	Y	N	N	Y	Y		
SRR6283708	Wei et al. PNAS 2018	Wei2018_Chr6	NPC	APH 0.5uM	chr6	chr6	FALSE	mouse	Wei2018/SRR6283708_WEI2018_result.tlx	Wei2018/SRR6283708_WEI2018_result.tlx	chr6	Chr6_70Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr6	GSE106822	Y	Y	N	N	Y	Y		
SRR6283709	Wei et al. PNAS 2018	Wei2018_Chr6	NPC	APH 0.5uM	chr6	chr6	FALSE	mouse	Wei2018/SRR6283709_WEI2018_result.tlx	Wei2018/SRR6283709_WEI2018_result.tlx	chr6	Chr6_70Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr6	GSE106822	Y	Y	N	N	Y	Y		
SRR6283710	Wei et al. PNAS 2018	Wei2018_Chr7	NPC	DMSO	chr7	chr7	TRUE	mouse	Wei2018/SRR6283710_WEI2018_result.tlx	Wei2018/SRR6283710_WEI2018_result.tlx	chr7	Chr7_80Mb	2	0	From Wei et al. PNAS 2018; bait on chr7	GSE106822	Y	Y	N	N	N	N		
SRR6283711	Wei et al. PNAS 2018	Wei2018_Chr7	NPC	DMSO	chr7	chr7	TRUE	mouse	Wei2018/SRR6283711_WEI2018_result.tlx	Wei2018/SRR6283711_WEI2018_result.tlx	chr7	Chr7_80Mb	2	0	From Wei et al. PNAS 2018; bait on chr7	GSE106822	Y	Y	N	N	N	N		
SRR6283712	Wei et al. PNAS 2018	Wei2018_Chr7	NPC	DMSO	chr7	chr7	TRUE	mouse	Wei2018/SRR6283712_WEI2018_result.tlx	Wei2018/SRR6283712_WEI2018_result.tlx	chr7	Chr7_80Mb	2	0	From Wei et al. PNAS 2018; bait on chr7	GSE106822	Y	Y	N	N	N	N		
SRR6283713	Wei et al. PNAS 2018	Wei2018_Chr7	NPC	APH 0.5uM	chr7	chr7	FALSE	mouse	Wei2018/SRR6283713_WEI2018_result.tlx	Wei2018/SRR6283713_WEI2018_result.tlx	chr7	Chr7_80Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr7	GSE106822	Y	Y	N	N	Y	Y		
SRR6283714	Wei et al. PNAS 2018	Wei2018_Chr7	NPC	APH 0.5uM	chr7	chr7	FALSE	mouse	Wei2018/SRR6283714_WEI2018_result.tlx	Wei2018/SRR6283714_WEI2018_result.tlx	chr7	Chr7_80Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr7	GSE106822	Y	Y	N	N	Y	Y		
SRR6283715	Wei et al. PNAS 2018	Wei2018_Chr7	NPC	APH 0.5uM	chr7	chr7	FALSE	mouse	Wei2018/SRR6283715_WEI2018_result.tlx	Wei2018/SRR6283715_WEI2018_result.tlx	chr7	Chr7_80Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr7	GSE106822	Y	Y	N	N	Y	Y		
SRR6283716	Wei et al. PNAS 2018	Wei2018_Chr8	NPC	DMSO	chr8	chr8	TRUE	mouse	Wei2018/SRR6283716_WEI2018_result.tlx	Wei2018/SRR6283716_WEI2018_result.tlx	chr8	Chr8_61Mb	2	0	From Wei et al. PNAS 2018; bait on chr8	GSE106822	Y	Y	N	N	N	N		
SRR6283717	Wei et al. PNAS 2018	Wei2018_Chr8	NPC	DMSO	chr8	chr8	TRUE	mouse	Wei2018/SRR6283717_WEI2018_result.tlx	Wei2018/SRR6283717_WEI2018_result.tlx	chr8	Chr8_61Mb	2	0	From Wei et al. PNAS 2018; bait on chr8	GSE106822	Y	Y	N	N	N	N		
SRR6283718	Wei et al. PNAS 2018	Wei2018_Chr8	NPC	DMSO	chr8	chr8	TRUE	mouse	Wei2018/SRR6283718_WEI2018_result.tlx	Wei2018/SRR6283718_WEI2018_result.tlx	chr8	Chr8_61Mb	2	0	From Wei et al. PNAS 2018; bait on chr8	GSE106822	Y	Y	N	N	N	N		
SRR6283719	Wei et al. PNAS 2018	Wei2018_Chr8	NPC	APH 0.5uM	chr8	chr8	FALSE	mouse	Wei2018/SRR6283719_WEI2018_result.tlx	Wei2018/SRR6283719_WEI2018_result.tlx	chr8	Chr8_61Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr8	GSE106822	Y	Y	N	N	Y	Y		
SRR6283720	Wei et al. PNAS 2018	Wei2018_Chr8	NPC	APH 0.5uM	chr8	chr8	FALSE	mouse	Wei2018/SRR6283720_WEI2018_result.tlx	Wei2018/SRR6283720_WEI2018_result.tlx	chr8	Chr8_61Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr8	GSE106822	Y	Y	N	N	Y	Y		
SRR6283721	Wei et al. PNAS 2018	Wei2018_Chr8	NPC	APH 0.5uM	chr8	chr8	FALSE	mouse	Wei2018/SRR6283721_WEI2018_result.tlx	Wei2018/SRR6283721_WEI2018_result.tlx	chr8	Chr8_61Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr8	GSE106822	Y	Y	N	N	Y	Y		
SRR6283722	Wei et al. PNAS 2018	Wei2018_Chr9	NPC	DMSO	chr9	chr9	TRUE	mouse	Wei2018/SRR6283722_WEI2018_result.tlx	Wei2018/SRR6283722_WEI2018_result.tlx	chr9	Chr9_25Mb	2	0	From Wei et al. PNAS 2018; bait on chr9	GSE106822	Y	Y	N	N	N	N		
SRR6283723	Wei et al. PNAS 2018	Wei2018_Chr9	NPC	DMSO	chr9	chr9	TRUE	mouse	Wei2018/SRR6283723_WEI2018_result.tlx	Wei2018/SRR6283723_WEI2018_result.tlx	chr9	Chr9_25Mb	2	0	From Wei et al. PNAS 2018; bait on chr9	GSE106822	Y	Y	N	N	N	N		
SRR6283724	Wei et al. PNAS 2018	Wei2018_Chr9	NPC	DMSO	chr9	chr9	TRUE	mouse	Wei2018/SRR6283724_WEI2018_result.tlx	Wei2018/SRR6283724_WEI2018_result.tlx	chr9	Chr9_25Mb	2	0	From Wei et al. PNAS 2018; bait on chr9	GSE106822	Y	Y	N	N	N	N		
SRR6283725	Wei et al. PNAS 2018	Wei2018_Chr9	NPC	APH 0.5uM	chr9	chr9	FALSE	mouse	Wei2018/SRR6283725_WEI2018_result.tlx	Wei2018/SRR6283725_WEI2018_result.tlx	chr9	Chr9_25Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr9	GSE106822	Y	Y	N	N	Y	Y		
SRR6283726	Wei et al. PNAS 2018	Wei2018_Chr9	NPC	APH 0.5uM	chr9	chr9	FALSE	mouse	Wei2018/SRR6283726_WEI2018_result.tlx	Wei2018/SRR6283726_WEI2018_result.tlx	chr9	Chr9_25Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr9	GSE106822	Y	Y	N	N	Y	Y		
SRR6283727	Wei et al. PNAS 2018	Wei2018_Chr9	NPC	APH 0.5uM	chr9	chr9	FALSE	mouse	Wei2018/SRR6283727_WEI2018_result.tlx	Wei2018/SRR6283727_WEI2018_result.tlx	chr9	Chr9_25Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr9	GSE106822	Y	Y	N	N	Y	Y		
SRR6283728	Wei et al. PNAS 2018	Wei2018_Chr10	NPC	DMSO	chr10	chr10	TRUE	mouse	Wei2018/SRR6283728_WEI2018_result.tlx	Wei2018/SRR6283728_WEI2018_result.tlx	chr10	Chr10_80Mb	2	0	From Wei et al. PNAS 2018; bait on chr10	GSE106822	Y	Y	N	N	N	N		
SRR6283729	Wei et al. PNAS 2018	Wei2018_Chr10	NPC	DMSO	chr10	chr10	TRUE	mouse	Wei2018/SRR6283729_WEI2018_result.tlx	Wei2018/SRR6283729_WEI2018_result.tlx	chr10	Chr10_80Mb	2	0	From Wei et al. PNAS 2018; bait on chr10	GSE106822	Y	Y	N	N	N	N		
SRR6283730	Wei et al. PNAS 2018	Wei2018_Chr10	NPC	DMSO	chr10	chr10	TRUE	mouse	Wei2018/SRR6283730_WEI2018_result.tlx	Wei2018/SRR6283730_WEI2018_result.tlx	chr10	Chr10_80Mb	2	0	From Wei et al. PNAS 2018; bait on chr10	GSE106822	Y	Y	N	N	N	N		
SRR6283731	Wei et al. PNAS 2018	Wei2018_Chr10	NPC	APH 0.5uM	chr10	chr10	FALSE	mouse	Wei2018/SRR6283731_WEI2018_result.tlx	Wei2018/SRR6283731_WEI2018_result.tlx	chr10	Chr10_80Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr10	GSE106822	Y	Y	N	N	Y	Y		
SRR6283732	Wei et al. PNAS 2018	Wei2018_Chr10	NPC	APH 0.5uM	chr10	chr10	FALSE	mouse	Wei2018/SRR6283732_WEI2018_result.tlx	Wei2018/SRR6283732_WEI2018_result.tlx	chr10	Chr10_80Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr10	GSE106822	Y	Y	N	N	Y	Y		
SRR6283733	Wei et al. PNAS 2018	Wei2018_Chr10	NPC	APH 0.5uM	chr10	chr10	FALSE	mouse	Wei2018/SRR6283733_WEI2018_result.tlx	Wei2018/SRR6283733_WEI2018_result.tlx	chr10	Chr10_80Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr10	GSE106822	Y	Y	N	N	Y	Y		
SRR6283734	Wei et al. PNAS 2018	Wei2018_Chr11	NPC	DMSO	chr11	chr11	TRUE	mouse	Wei2018/SRR6283734_WEI2018_result.tlx	Wei2018/SRR6283734_WEI2018_result.tlx	chr11	Chr11_38Mb	2	0	From Wei et al. PNAS 2018; bait on chr11	GSE106822	Y	Y	N	N	N	N		
SRR6283735	Wei et al. PNAS 2018	Wei2018_Chr11	NPC	DMSO	chr11	chr11	TRUE	mouse	Wei2018/SRR6283735_WEI2018_result.tlx	Wei2018/SRR6283735_WEI2018_result.tlx	chr11	Chr11_38Mb	2	0	From Wei et al. PNAS 2018; bait on chr11	GSE106822	Y	Y	N	N	N	N		
SRR6283736	Wei et al. PNAS 2018	Wei2018_Chr11	NPC	DMSO	chr11	chr11	TRUE	mouse	Wei2018/SRR6283736_WEI2018_result.tlx	Wei2018/SRR6283736_WEI2018_result.tlx	chr11	Chr11_38Mb	2	0	From Wei et al. PNAS 2018; bait on chr11	GSE106822	Y	Y	N	N	N	N		
SRR6283737	Wei et al. PNAS 2018	Wei2018_Chr11	NPC	APH 0.5uM	chr11	chr11	FALSE	mouse	Wei2018/SRR6283737_WEI2018_result.tlx	Wei2018/SRR6283737_WEI2018_result.tlx	chr11	Chr11_38Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr11	GSE106822	Y	Y	N	N	Y	Y		
SRR6283738	Wei et al. PNAS 2018	Wei2018_Chr11	NPC	APH 0.5uM	chr11	chr11	FALSE	mouse	Wei2018/SRR6283738_WEI2018_result.tlx	Wei2018/SRR6283738_WEI2018_result.tlx	chr11	Chr11_38Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr11	GSE106822	Y	Y	N	N	Y	Y		
SRR6283739	Wei et al. PNAS 2018	Wei2018_Chr11	NPC	APH 0.5uM	chr11	chr11	FALSE	mouse	Wei2018/SRR6283739_WEI2018_result.tlx	Wei2018/SRR6283739_WEI2018_result.tlx	chr11	Chr11_38Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr11	GSE106822	Y	Y	N	N	Y	Y		
SRR6283740	Wei et al. PNAS 2018	Wei2018_Chr13	NPC	DMSO	chr13	chr13	TRUE	mouse	Wei2018/SRR6283740_WEI2018_result.tlx	Wei2018/SRR6283740_WEI2018_result.tlx	chr13	Chr13_57Mb	2	0	From Wei et al. PNAS 2018; bait on chr13	GSE106822	Y	Y	N	N	N	N		
SRR6283741	Wei et al. PNAS 2018	Wei2018_Chr13	NPC	DMSO	chr13	chr13	TRUE	mouse	Wei2018/SRR6283741_WEI2018_result.tlx	Wei2018/SRR6283741_WEI2018_result.tlx	chr13	Chr13_57Mb	2	0	From Wei et al. PNAS 2018; bait on chr13	GSE106822	Y	Y	N	N	N	N		
SRR6283742	Wei et al. PNAS 2018	Wei2018_Chr13	NPC	DMSO	chr13	chr13	TRUE	mouse	Wei2018/SRR6283742_WEI2018_result.tlx	Wei2018/SRR6283742_WEI2018_result.tlx	chr13	Chr13_57Mb	2	0	From Wei et al. PNAS 2018; bait on chr13	GSE106822	Y	Y	N	N	N	N		
SRR6283743	Wei et al. PNAS 2018	Wei2018_Chr13	NPC	DMSO	chr13	chr13	TRUE	mouse	Wei2018/SRR6283743_WEI2018_result.tlx	Wei2018/SRR6283743_WEI2018_result.tlx	chr13	Chr13_57Mb	2	0	From Wei et al. PNAS 2018; bait on chr13	GSE106822	Y	Y	N	N	N	N		
SRR6283744	Wei et al. PNAS 2018	Wei2018_Chr13	NPC	DMSO	chr13	chr13	TRUE	mouse	Wei2018/SRR6283744_WEI2018_result.tlx	Wei2018/SRR6283744_WEI2018_result.tlx	chr13	Chr13_57Mb	2	0	From Wei et al. PNAS 2018; bait on chr13	GSE106822	Y	Y	N	N	N	N		
SRR6283745	Wei et al. PNAS 2018	Wei2018_Chr13	NPC	APH 0.5uM	chr13	chr13	FALSE	mouse	Wei2018/SRR6283745_WEI2018_result.tlx	Wei2018/SRR6283745_WEI2018_result.tlx	chr13	Chr13_57Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr13	GSE106822	Y	Y	N	N	Y	Y		
SRR6283746	Wei et al. PNAS 2018	Wei2018_Chr13	NPC	APH 0.5uM	chr13	chr13	FALSE	mouse	Wei2018/SRR6283746_WEI2018_result.tlx	Wei2018/SRR6283746_WEI2018_result.tlx	chr13	Chr13_57Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr13	GSE106822	Y	Y	N	N	Y	Y		
SRR6283747	Wei et al. PNAS 2018	Wei2018_Chr13	NPC	APH 0.5uM	chr13	chr13	FALSE	mouse	Wei2018/SRR6283747_WEI2018_result.tlx	Wei2018/SRR6283747_WEI2018_result.tlx	chr13	Chr13_57Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr13	GSE106822	Y	Y	N	N	Y	Y		
SRR6283748	Wei et al. PNAS 2018	Wei2018_Chr13	NPC	APH 0.5uM	chr13	chr13	FALSE	mouse	Wei2018/SRR6283748_WEI2018_result.tlx	Wei2018/SRR6283748_WEI2018_result.tlx	chr13	Chr13_57Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr13	GSE106822	Y	Y	N	N	Y	Y		
SRR6283749	Wei et al. PNAS 2018	Wei2018_Chr13	NPC	APH 0.5uM	chr13	chr13	FALSE	mouse	Wei2018/SRR6283749_WEI2018_result.tlx	Wei2018/SRR6283749_WEI2018_result.tlx	chr13	Chr13_57Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr13	GSE106822	Y	Y	N	N	Y	Y		
SRR6283750	Wei et al. PNAS 2018	Wei2018_Chr14	NPC	DMSO	chr14	chr14	TRUE	mouse	Wei2018/SRR6283750_WEI2018_result.tlx	Wei2018/SRR6283750_WEI2018_result.tlx	chr14	Chr14_83Mb	2	0	From Wei et al. PNAS 2018; bait on chr14	GSE106822	Y	Y	N	N	N	N		
SRR6283751	Wei et al. PNAS 2018	Wei2018_Chr14	NPC	DMSO	chr14	chr14	TRUE	mouse	Wei2018/SRR6283751_WEI2018_result.tlx	Wei2018/SRR6283751_WEI2018_result.tlx	chr14	Chr14_83Mb	2	0	From Wei et al. PNAS 2018; bait on chr14	GSE106822	Y	Y	N	N	N	N		
SRR6283752	Wei et al. PNAS 2018	Wei2018_Chr14	NPC	DMSO	chr14	chr14	TRUE	mouse	Wei2018/SRR6283752_WEI2018_result.tlx	Wei2018/SRR6283752_WEI2018_result.tlx	chr14	Chr14_83Mb	2	0	From Wei et al. PNAS 2018; bait on chr14	GSE106822	Y	Y	N	N	N	N		
SRR6283753	Wei et al. PNAS 2018	Wei2018_Chr14	NPC	APH 0.5uM	chr14	chr14	FALSE	mouse	Wei2018/SRR6283753_WEI2018_result.tlx	Wei2018/SRR6283753_WEI2018_result.tlx	chr14	Chr14_83Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr14	GSE106822	Y	Y	N	N	Y	Y		
SRR6283754	Wei et al. PNAS 2018	Wei2018_Chr14	NPC	APH 0.5uM	chr14	chr14	FALSE	mouse	Wei2018/SRR6283754_WEI2018_result.tlx	Wei2018/SRR6283754_WEI2018_result.tlx	chr14	Chr14_83Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr14	GSE106822	Y	Y	N	N	Y	Y		
SRR6283755	Wei et al. PNAS 2018	Wei2018_Chr14	NPC	APH 0.5uM	chr14	chr14	FALSE	mouse	Wei2018/SRR6283755_WEI2018_result.tlx	Wei2018/SRR6283755_WEI2018_result.tlx	chr14	Chr14_83Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr14	GSE106822	Y	Y	N	N	Y	Y		
SRR6283756	Wei et al. PNAS 2018	Wei2018_Chr17	NPC	DMSO	chr17	chr17	TRUE	mouse	Wei2018/SRR6283756_WEI2018_result.tlx	Wei2018/SRR6283756_WEI2018_result.tlx	chr17	Chr17_41Mb	2	0	From Wei et al. PNAS 2018; bait on chr17	GSE106822	Y	Y	N	N	N	N		
SRR6283757	Wei et al. PNAS 2018	Wei2018_Chr17	NPC	DMSO	chr17	chr17	TRUE	mouse	Wei2018/SRR6283757_WEI2018_result.tlx	Wei2018/SRR6283757_WEI2018_result.tlx	chr17	Chr17_41Mb	2	0	From Wei et al. PNAS 2018; bait on chr17	GSE106822	Y	Y	N	N	N	N		
SRR6283758	Wei et al. PNAS 2018	Wei2018_Chr17	NPC	DMSO	chr17	chr17	TRUE	mouse	Wei2018/SRR6283758_WEI2018_result.tlx	Wei2018/SRR6283758_WEI2018_result.tlx	chr17	Chr17_41Mb	2	0	From Wei et al. PNAS 2018; bait on chr17	GSE106822	Y	Y	N	N	N	N		
